FIPS,in_Co_190,period,Yield_bu_ac,Prod_g_m2,PPT_wy,Tmax_gs,_90FDays,Pcnt_Cropland_abnd,Grassland,Eros_pct,disturb_min,sand_wt_mean,sandvf_wt_mean,silt_wt_mean,disturbed_wt_mean
19021,yes,predrought,39,483.5083429,700.6999186,24.74235064,0.714285714,0.167136257,Tallgrass Prairie,21.09307142,54.03,24.07131208,9.300892337,45.58277985,60.86736983
19023,yes,drought,41,519.578675,751.7046089,25.21064648,1.75,4.891094876,Tallgrass Prairie,10.98641465,42.87,33.94148494,10.51666533,41.96187021,53.68838497
19023,yes,postdrought,47,595.0596,851.5567045,24.36484091,0.625,1.725414007,Tallgrass Prairie,10.98641465,42.87,33.94148494,10.51666533,41.96187021,53.68838497
19023,yes,predrought,34,428.2707429,773.8629004,24.58505049,0.714285714,1.431932335,Tallgrass Prairie,10.98641465,42.87,33.94148494,10.51666533,41.96187021,53.68838497
19025,yes,drought,47,592.078025,682.1099497,25.91595453,2.5,6.662556587,Tallgrass Prairie,0.986753177,53.56,29.78582988,11.0533729,42.43381718,57.44462744
19025,yes,postdrought,52,657.986525,794.48019,24.66176515,0.75,8.27388716,Tallgrass Prairie,0.986753177,53.56,29.78582988,11.0533729,42.43381718,57.44462744
19025,yes,predrought,39,487.2745429,713.2416883,24.91723809,0.714285714,0.706411402,Tallgrass Prairie,0.986753177,53.56,29.78582988,11.0533729,42.43381718,57.44462744
19027,yes,drought,43,537.781975,655.7808236,26.22102555,2.75,5.674216689,Tallgrass Prairie,57.98109386,53.12,20.13964346,7.356001683,51.06444841,60.37204935
19027,yes,postdrought,55,689.057675,802.2253833,24.78086932,0.5,4.7573093,Tallgrass Prairie,57.98109386,53.12,20.13964346,7.356001683,51.06444841,60.37204935
19027,yes,predrought,40,496.4210286,722.7976783,25.00783117,0.428571429,1.8388562,Tallgrass Prairie,57.98109386,53.12,20.13964346,7.356001683,51.06444841,60.37204935
19029,yes,drought,35,440.0177,663.916828,27.16584063,2.5,11.43043279,Tallgrass Prairie,93.39537368,59.46,13.51237635,5.825242088,55.41504892,64.2703065
19029,yes,postdrought,48,602.27815,850.5474221,25.19548438,0.625,9.056285615,Tallgrass Prairie,93.39537368,59.46,13.51237635,5.825242088,55.41504892,64.2703065
19029,yes,predrought,37,463.4219429,795.6310358,25.83619283,1.142857143,3.282505383,Tallgrass Prairie,93.39537368,59.46,13.51237635,5.825242088,55.41504892,64.2703065
19031,yes,drought,53,660.811175,795.0971411,25.48421296,1.375,9.423631404,Tallgrass Prairie,60.88656242,40,10.54917302,4.998973595,62.3065665,57.94760796
19031,yes,postdrought,62,778.818775,896.7885415,24.58118519,0.125,1.677160554,Tallgrass Prairie,60.88656242,40,10.54917302,4.998973595,62.3065665,57.94760796
19031,yes,predrought,46,574.4351714,880.3528307,24.88678307,0.285714286,0.867522858,Tallgrass Prairie,60.88656242,40,10.54917302,4.998973595,62.3065665,57.94760796
19033,yes,drought,41,514.557075,738.8982944,24.61845574,2,5.40057773,Tallgrass Prairie,6.421789105,52.27,33.33814741,10.94644937,40.68930157,54.38067584
19033,yes,postdrought,49,609.653625,829.483711,23.60949218,0.125,1.351486803,Tallgrass Prairie,6.421789105,52.27,33.33814741,10.94644937,40.68930157,54.38067584
19033,yes,predrought,33,416.2547714,744.8977684,23.87950893,0,1.733973088,Tallgrass Prairie,6.421789105,52.27,33.33814741,10.94644937,40.68930157,54.38067584
19035,yes,drought,41,516.126325,648.2306104,25.60069035,2.125,5.636529044,Tallgrass Prairie,96.0040716,53.12,10.49203753,5.575044369,55.31831617,69.11054747
19035,yes,postdrought,53,664.891225,760.0209089,24.29963919,0.375,4.478284007,Tallgrass Prairie,96.0040716,53.12,10.49203753,5.575044369,55.31831617,69.11054747
19035,yes,predrought,38,475.2585714,666.7168019,24.76436039,0.285714286,0.169147238,Tallgrass Prairie,96.0040716,53.12,10.49203753,5.575044369,55.31831617,69.11054747
19037,yes,drought,37,461.67335,772.0213962,24.58203896,1.25,5.28897567,Tallgrass Prairie,7.300197684,52.27,36.82497974,11.38850184,39.15892604,53.6747845
19037,yes,postdrought,42,523.658725,871.9054222,23.81489286,0.25,1.739451872,Tallgrass Prairie,7.300197684,52.27,36.82497974,11.38850184,39.15892604,53.6747845
19037,yes,predrought,32,406.9289429,795.2295177,23.87551393,0.142857143,1.190191965,Tallgrass Prairie,7.300197684,52.27,36.82497974,11.38850184,39.15892604,53.6747845
19039,yes,drought,30,377.404625,727.3678974,26.67374241,2,30.68850583,Tallgrass Prairie,100,51.87,25.9026026,9.623340595,46.14678216,59.6188202
19039,yes,postdrought,40,498.3938,901.9838251,25.36530305,0.25,6.730260521,Tallgrass Prairie,100,51.87,25.9026026,9.623340595,46.14678216,59.6188202
19039,yes,predrought,35,436.3411714,864.6974669,25.51795671,0.428571429,2.503495934,Tallgrass Prairie,100,51.87,25.9026026,9.623340595,46.14678216,59.6188202
19041,yes,drought,45,569.01005,669.2104121,25.45621874,2.625,5.848893383,Tallgrass Prairie,10.14168726,54.03,22.6903499,8.442019747,46.30842597,63.10236633
19041,yes,postdrought,53,659.241925,759.4356395,24.0132926,0.5,3.904315108,Tallgrass Prairie,10.14168726,54.03,22.6903499,8.442019747,46.30842597,63.10236633
19041,yes,predrought,36,449.9712286,673.4866881,24.90703572,1.142857143,0.126877599,Tallgrass Prairie,10.14168726,54.03,22.6903499,8.442019747,46.30842597,63.10236633
19043,yes,drought,47,586.742575,769.5084892,24.42684791,1.125,6.606033888,Tallgrass Prairie,92.84149014,0,11.63506457,5.671252359,54.06188239,43.89078394
19043,yes,postdrought,56,704.59325,866.0562501,23.97285626,0,1.766023432,Tallgrass Prairie,92.84149014,0,11.63506457,5.671252359,54.06188239,43.89078394
19043,yes,predrought,41,509.1543714,803.9750831,23.95174523,0.142857143,3.79926768,Tallgrass Prairie,92.84149014,0,11.63506457,5.671252359,54.06188239,43.89078394
19045,yes,drought,47,595.6873,810.3330751,25.30674115,1.875,8.706094999,Tallgrass Prairie,30.43667884,0,13.81243351,5.936577118,53.95770545,48.53689932
19045,yes,postdrought,58,730.32895,879.4073782,24.48648673,0.5,2.949325955,Tallgrass Prairie,30.43667884,0,13.81243351,5.936577118,53.95770545,48.53689932
19045,yes,predrought,41,518.8388857,876.9302524,24.78815676,0.428571429,2.035479761,Tallgrass Prairie,30.43667884,0,13.81243351,5.936577118,53.95770545,48.53689932
19047,yes,drought,31,393.88175,612.1212384,26.18159823,2.625,8.590113253,Tallgrass Prairie,95.94083973,50.84,8.905166517,5.073752831,65.20372183,55.90548856
19047,yes,postdrought,51,638.9986,764.8348105,24.57386162,0.375,5.098008192,Tallgrass Prairie,95.94083973,50.84,8.905166517,5.073752831,65.20372183,55.90548856
19047,yes,predrought,39,487.2745429,690.1142475,24.96316582,1.285714286,0.817645628,Tallgrass Prairie,95.94083973,50.84,8.905166517,5.073752831,65.20372183,55.90548856
